model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
logistic,0.6598,0.6573538795801541,0.32444555195614255,0.6532865027596588,0.43356643356643354,0.712811124686371
xgboost,0.804,0.5231651607402479,0.5863874345549738,0.05619668840943302,0.10256410256410256,0.7158494846863486
lightgbm,0.8041,0.5239813369523443,0.5858585858585859,0.05820371299548419,0.10588772250114104,0.7121953814747268
