Date,regime_causal,regime_viterbi,regime_effective,proba_0,proba_1,confidence,is_uncertain
2019-06-18,1,1,1,3.6315004617726664e-308,1.0,1.0,False
2019-06-19,1,1,1,1.5622661253880048e-10,0.999999999843773,0.999999999843773,False
2019-06-20,1,1,1,1.5522799591247545e-10,0.9999999998447713,0.9999999998447713,False
2019-06-21,1,1,1,1.1914300649862026e-10,0.9999999998808562,0.9999999998808562,False
2019-06-24,1,1,1,8.714336261071198e-11,0.999999999912859,0.999999999912859,False
2019-06-25,1,1,1,6.911288136291665e-11,0.9999999999308855,0.9999999999308855,False
2019-06-26,1,1,1,3.661054592638909e-11,0.9999999999633928,0.9999999999633928,False
2019-06-27,1,1,1,2.2840858350847354e-11,0.999999999977156,0.999999999977156,False
2019-06-28,1,1,1,2.242453404890389e-11,0.9999999999775753,0.9999999999775753,False
2019-07-01,1,1,1,3.0087696006261063e-11,0.9999999999699156,0.9999999999699156,False
2019-07-02,1,1,1,2.617264765748819e-11,0.9999999999738236,0.9999999999738236,False
2019-07-03,1,1,1,1.8713017996882023e-11,0.9999999999812843,0.9999999999812843,False
2019-07-05,1,1,1,1.1438624280899486e-11,0.9999999999885603,0.9999999999885603,False
2019-07-08,1,1,1,9.019745660304412e-12,0.9999999999909761,0.9999999999909761,False
2019-07-09,1,1,1,6.7870890288547325e-12,0.9999999999932072,0.9999999999932072,False
2019-07-10,1,1,1,6.802082348974883e-12,0.9999999999932072,0.9999999999932072,False
2019-07-11,1,1,1,5.365607122525043e-12,0.9999999999946283,0.9999999999946283,False
2019-07-12,1,1,1,4.269009937859446e-12,0.9999999999957367,0.9999999999957367,False
2019-07-15,1,1,1,2.7924899323212814e-12,0.9999999999972147,0.9999999999972147,False
2019-07-16,1,1,1,1.971751682690526e-12,0.9999999999980389,0.9999999999980389,False
2019-07-17,1,1,1,1.4572092878436332e-12,0.9999999999985505,0.9999999999985505,False
2019-07-18,1,1,1,1.7743725366893633e-12,0.9999999999982379,0.9999999999982379,False
2019-07-19,1,1,1,1.859821022793966e-12,0.9999999999981526,0.9999999999981526,False
2019-07-22,1,1,1,1.7365535768520087e-12,0.9999999999982663,0.9999999999982663,False
2019-07-23,1,1,1,5.058422033708587e-12,0.9999999999949409,0.9999999999949409,False
2019-07-24,1,1,1,5.407502334962166e-12,0.9999999999945999,0.9999999999945999,False
2019-07-25,1,1,1,7.16733052719179e-12,0.9999999999928377,0.9999999999928377,False
2019-07-26,1,1,1,8.489155464825666e-12,0.9999999999915019,0.9999999999915019,False
2019-07-29,1,1,1,6.086980607394953e-12,0.9999999999939178,0.9999999999939178,False
2019-07-30,1,1,1,4.167242528379801e-12,0.9999999999958504,0.9999999999958504,False
2019-07-31,1,1,1,2.9862788604546835e-12,0.9999999999969873,0.9999999999969873,False
2019-08-01,1,1,1,1.7991539541975338e-12,0.999999999998181,0.999999999998181,False
2019-08-02,1,1,1,1.2922014711207947e-12,0.9999999999986926,0.9999999999986926,False
2019-08-05,1,1,1,1.6875514763519405e-12,0.9999999999982947,0.9999999999982947,False
2019-08-06,1,1,1,2.9495224077937877e-12,0.9999999999970441,0.9999999999970441,False
2019-08-07,1,1,1,5.932253876037626e-12,0.9999999999940883,0.9999999999940883,False
2019-08-08,1,1,1,1.6941189562780382e-11,0.9999999999830607,0.9999999999830607,False
2019-08-09,1,1,1,2.686262004033148e-11,0.9999999999731131,0.9999999999731131,False
2019-08-12,1,1,1,3.276722961212326e-11,0.9999999999672582,0.9999999999672582,False
2019-08-13,1,1,1,1.1762330677427102e-10,0.999999999882391,0.999999999882391,False
2019-08-14,1,1,1,9.902009349855472e-11,0.9999999999009788,0.9999999999009788,False
2019-08-15,1,1,1,2.3344966321845584e-10,0.9999999997665441,0.9999999997665441,False
2019-08-16,1,1,1,9.992217779989238e-10,0.9999999990008064,0.9999999990008064,False
