model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
logistic,0.72,0.719047619047619,0.524390243902439,0.7166666666666667,0.6056338028169014,0.7863095238095238
xgboost,0.78,0.7095238095238094,0.6666666666666666,0.5333333333333333,0.5925925925925926,0.8097619047619047
lightgbm,0.75,0.6738095238095239,0.6041666666666666,0.48333333333333334,0.5370370370370371,0.7902380952380952
